job_title,company,location,salary,date,url
carpenter,3308 Construction inc.,Victoria (BC),$25.00 to $40.00 hourly,"May 24, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49577718?source=searchresults
carpenter,MacJac Construction inc.,Nanaimo (BC),$38.00 to $45.00 hourly (to be negotiated),"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49635856?source=searchresults
carpenter,JCC Construction,Deroche (BC),$36.60 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49659123?source=searchresults
renovation carpenter,River Crest Contracting,Chilliwack (BC),$25.00 to $40.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652679?source=searchresults
carpenter helper,Parbh Homes Ltd.,Surrey (BC),$25.00 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49590618?source=searchresults
carpenter,Caneast Construction and Renovations Ltd,Surrey (BC),$36.60 hourly,"May 28, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49606126?source=searchresults
carpenter helper,MDR Ltd.,Vancouver (BC),$17.85 to $32.30 hourly,"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49635318?source=searchresults
carpenter,Miclex Construction Inc.,Chilliwack (BC),$24.00 to $44.00 hourly (to be negotiated),"May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49579198?source=searchresults
excavator operator,Central Okanagan Property Management Ltd.,Kelowna (BC),$25.00 to $35.00 hourly,"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49644364?source=searchresults
plumber helper,Killarney Mechanical Ltd,Burnaby (BC),$25.00 hourly,"May 23, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49569482?source=searchresults
"painter, construction",Honey painting ltd.,Surrey (BC),$29.00 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49589781?source=searchresults
construction painter,LUXE PAINTING LTD.,Surrey (BC),$29.00 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49589775?source=searchresults
apprentice carpenter,Trillian Construction Ltd.,Nanaimo (BC),$22.00 to $30.00 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49600400?source=searchresults
concrete forms carpenter,KRISTHAN CONSTRUCTION INCORPORATED,Surrey (BC),$36.60 hourly,"June 07, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49667232?source=searchresults
pipelayer,TwinCon Enterprises Ltd.,Princeton (BC),$37.00 to $42.00 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49661176?source=searchresults
demolition worker,Hands On Demolition & Excavating Ltd.,Delta (BC),$25.00 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49588731?source=searchresults
glazier helper,Pinnacle Glass And Aluminum,Surrey (BC),$25.00 hourly,"May 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49552868?source=searchresults
roofer helper,Sure Shield Roofing Ltd,Surrey (BC),$25.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49655566?source=searchresults
roofer helper,EFBY CONSTRUCTION LTD.,Port Coquitlam (BC),$25.00 hourly,"May 06, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49468294?source=searchresults
construction general manager,Buildtech Contracting Inc.,Richmond (BC),$60.00 to $61.00 hourly (to be negotiated),"May 11, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49494981?source=searchresults
apprentice carpenter,MacJac Construction inc.,Nanaimo (BC),$25.00 to $35.00 hourly (to be negotiated),"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49635850?source=searchresults
carpenter,Downs Construction,Esquimalt (BC),$30.00 to $39.00 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49590788?source=searchresults
"carpenter, concrete forms",Kimola Construction Ltd,Maple Ridge (BC),$35.00 to $40.00 hourly (to be negotiated),"June 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49628272?source=searchresults
concrete finisher helper,White Stone Concrete & Construction Ltd.,Chilliwack (BC),$25.00 hourly,"May 07, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49470429?source=searchresults
roofer helper,Red Roofing Ltd.,Vernon (BC),$28.00 hourly,"June 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49627741?source=searchresults
roofer helper,PHILSTAR ROOFING & DISPOSAL LTD,Langley (BC),$25.00 hourly,"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49543932?source=searchresults
"helper, concrete finisher",Sams Concrete Company,Richmond (BC),$37.50 to $40.00 hourly (to be negotiated),"May 18, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49534435?source=searchresults
construction general manager,METRO VAN CONSTRUCTION LTD,Richmond (BC),$54.65 hourly,"May 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49552994?source=searchresults
general construction foreman/woman,Doni's Sprayers & Power Washing Ltd.,Abbotsford (BC),$41.00 hourly,"February 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49005628?source=searchresults
carpenter,The Tarcott Group,Langley (BC),$25.00 to $40.00 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49590035?source=searchresults
carpenter,Revolt Homes LTD,Vancouver (BC),$37.00 to $39.24 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49600224?source=searchresults
framing carpenter,Avjot Construction Co. Ltd,Richmond (BC),$37.00 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49589730?source=searchresults
finish carpenter,CKT Projects Inc.,Victoria (BC),$25.00 to $42.00 hourly (to be negotiated),"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49636609?source=searchresults
carpenter,Linos Construction Ltd.,Vancouver (BC),$36.60 to $38.00 hourly (to be negotiated),"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49644978?source=searchresults
excavator operator,Cutline Contracting,Chilliwack (BC),$30.00 to $45.00 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49659206?source=searchresults
plumber helper,JS Hayer Plumbing & Heating Ltd.,Surrey (BC),$21.00 to $30.00 hourly (to be negotiated),"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49644627?source=searchresults
dozer operator,Tophay Agri-Industries Inc.,Vanderhoof (BC),$23.00 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49591756?source=searchresults
countertop installer,Provincial Building Services,Victoria (BC),$18.38 to $42.15 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49657391?source=searchresults
carpenter,Revere Interior Construction,Victoria (BC),$25.00 to $45.00 hourly,"May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49584716?source=searchresults
demolition foreman/woman,WEST DEMOLITION SERVICES LTD.,Surrey (BC),$41.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49655165?source=searchresults
Construction site supervisor,Nuframe Group,Surrey (BC),$37.50 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49659097?source=searchresults
construction project manager This job posting is posted by a recruitment agency on behalf of the employer.,Whistler Personnel,Whistler (BC),$50.00 to $60.00 hourly (to be negotiated),"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49658258?source=searchresults
"supervisor, construction painters",Chahal Painting,Surrey (BC),"$62,400.00 annually","June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49653416?source=searchresults
general construction supervisor,Immortal Plumbing and Heating Ltd.,Surrey (BC),$38.50 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652914?source=searchresults
construction painters supervisor,LINEAR PAINTING LTD.,Abbotsford (BC),$42.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652445?source=searchresults
Construction site supervisor,Nu-Vue Exteriors Ltd.,Kamloops (BC),$36.60 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49649949?source=searchresults
painting supervisor - construction,Walnut Grove Painting and Coating Ltd.,Surrey (BC),$38.00 hourly,"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49646804?source=searchresults
carpenter,BULANDI WOOD DESIGN LTD.,Surrey (BC),$36.60 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49591276?source=searchresults
carpenter,KSN Construction Ltd.,Abbotsford (BC),$37.00 hourly,"May 22, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49563603?source=searchresults
roofer helper,INNOVATION ROOFING LTD.,Surrey (BC),$25.00 hourly,"May 18, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49537810?source=searchresults
painting supervisor - construction,Strength Of Colours Painting Ltd,Langford (BC),$36.70 hourly,"June 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49630175?source=searchresults
roofer helper,SIERRANS ROOFING LTD.,Langley (BC),$25.00 hourly,"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49543952?source=searchresults
steel stud framer - carpentry,Aquila Frames Ltd.,Surrey (BC),$37.00 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49599453?source=searchresults
carpenter,HI-RISE CONSTRUCTION LTD,Langley (BC),$37.50 hourly,"May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49582556?source=searchresults
carpenter,DHILLON13 CONSTRUCTION LTD.,Mission (BC),$36.00 hourly,"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49544035?source=searchresults
excavator operator,Nortek contracting Ltd.,Prince George (BC),$32.00 to $37.00 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49654931?source=searchresults
concrete pump operator,Skeena Concrete Products Ltd.,Terrace (BC),$35.00 to $45.00 hourly,"May 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49552945?source=searchresults
carpenter helper,Bright Concept Construction Ltd,Abbotsford (BC),$25.00 hourly,"May 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49449007?source=searchresults
painting supervisor - construction,Noor Painting,Surrey (BC),$37.50 hourly,"May 29, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49613831?source=searchresults
general construction supervisor,H & S Insulation,Surrey (BC),$41.00 hourly,"May 29, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49613828?source=searchresults
general construction supervisor,Guru Service Group,Surrey (BC),$41.00 hourly,"May 29, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49613822?source=searchresults
carpenter,Gavan Construction Company Ltd,Whistler (BC),$37.50 to $43.00 hourly (to be negotiated),"May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49583188?source=searchresults
framer-carpenter,NST Construction Ltd,Surrey (BC),$36.60 hourly,"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49542942?source=searchresults
"helper, cement finisher",Builden Network and Construction Solutions Ltd.,Surrey (BC),$25.00 to $28.00 hourly (to be negotiated),"March 16, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49542820?source=searchresults
roofer helper,Nexas Roofing Ltd.,Surrey (BC),$25.00 hourly,"May 16, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49528843?source=searchresults
"installer, siding",BREGA Contracting,Kamloops (BC),$20.00 to $35.00 hourly,"May 21, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49553756?source=searchresults
"construction foreman/woman, capital project",Gavan Construction Company Ltd,Whistler (BC),$43.00 to $50.00 hourly (to be negotiated),"May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49583252?source=searchresults
Construction site supervisor,PRO-SHIELD ENTERPRISES INC.,Abbotsford (BC),$38.00 hourly,"May 28, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49605486?source=searchresults
carpenter,Goertzen Contracting LTD,Invermere (BC),$28.00 to $34.00 hourly,"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49544622?source=searchresults
electrician,B I R HOMES,White Rock (BC),$36.60 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652517?source=searchresults
carpenter,Uptown Drywall Solutions Incorporated,Richmond (BC),$38.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49651838?source=searchresults
painting supervisor - construction,HMS Painting Ltd.,Surrey (BC),$41.00 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49599819?source=searchresults
carpenter,P3S Constructions Inc.,Kelowna (BC),$37.00 hourly,"May 13, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49508283?source=searchresults
ironworker - metal building systems erector,PMC Builders & Developers Ltd.,Surrey (BC),$29.00 to $40.00 hourly (to be negotiated),"June 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49629817?source=searchresults
electrician,TDR Electric Inc,Vancouver (BC),$39.00 hourly,"May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49583040?source=searchresults
"technician, civil engineering",Loewen Paving Ltd,Chilliwack (BC),$38.00 hourly,"May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49585822?source=searchresults
finish carpenter,White Drywall & Development Ltd,Surrey (BC),$36.60 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49658709?source=searchresults
"helper, insulator",SmartSpace Insulation,Surrey (BC),$17.85 to $20.00 hourly,"May 30, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49617530?source=searchresults
"carpenter, concrete forms",Limen Masonry 2013 Ltd.,Maple Ridge (BC),$47.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49655483?source=searchresults
carpenter,Ace Framing Ltd.,Surrey (BC),$37.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49655467?source=searchresults
electrician,Elixir Electric Ltd,Burnaby (BC),$36.60 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652519?source=searchresults
carpenter,Covetime Retreat,Refuge Cove (BC),$41.56 hourly,"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49649061?source=searchresults
residential construction supervisor,Khattar Constructions,Langley (BC),$38.00 hourly,"May 16, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49529014?source=searchresults
heavy equipment operator,Gravity Construction Inc,North Vancouver (BC),$45.00 hourly,"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49544029?source=searchresults
carpenter,Jetline Contracting Ltd.,Richmond (BC),$33.00 to $36.60 hourly (to be negotiated),"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49644143?source=searchresults
excavator operator,MG Development,Revelstoke (BC),$31.00 to $35.00 hourly (to be negotiated),"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49599101?source=searchresults
carpenter,Mehar Finishing Ltd,Surrey (BC),$37.10 hourly,"June 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49628217?source=searchresults
carpenter helper,S & NJ Construction LTD,Surrey (BC),$25.10 hourly,"March 13, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49102959?source=searchresults
window installer,Cascadia Windows & Doors,Langley (BC),$25.00 to $27.00 hourly,"May 28, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49624354?source=searchresults
roofers and shinglers supervisor,LIONS ART ROOFING LTD.,Surrey (BC),$37.50 hourly,"May 28, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49605005?source=searchresults
carpenter,Best Quality Kitchen Cabinets,Surrey (BC),$36.60 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652546?source=searchresults
bricklayer supervisor,HEAVEN MASONRY AND CONSTRUCTION LTD.,Surrey (BC),$47.00 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49590733?source=searchresults
carpenter,Splatsin Development Corporation,Enderby (BC),$27.50 to $32.00 hourly,"May 21, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49560028?source=searchresults
carpenter,G S TOOR CONSTRUCTION LTD,Surrey (BC),$36.60 hourly,"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49543973?source=searchresults
carpenter,Pagnotta Inc.,Vancouver (BC),$36.60 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49659519?source=searchresults
electrician,ROOP ELECTRIC CO LTD.,Vancouver (BC),$37.00 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49659070?source=searchresults
countertop installer,Feeling Stone,Richmond (BC),$36.60 hourly,"May 28, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49606033?source=searchresults
carpenter,Ladner Homes Ltd,Delta (BC),$31.50 hourly,"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49646037?source=searchresults
swimming pool worker,Aloha Pools Ltd.,Vancouver (BC),$32.50 hourly,"May 23, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49569473?source=searchresults
roofers foreman/woman,Brokop Roofing,Victoria (BC),$36.60 hourly,"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49634671?source=searchresults
"helper, glass setter",VALUE AUTOGLASS LTD,Abbotsford (BC),$26.50 hourly,"May 11, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49493735?source=searchresults
heavy equipment operator,Blastpro Construction Ltd,Houston (BC),$22.00 to $33.00 hourly (to be negotiated),"May 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49552909?source=searchresults
fence installer,Tomco Maintenance,Courtenay (BC),$20.00 to $25.00 hourly,"June 06, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49664704?source=searchresults
electrician,AZZAD ELECTRICAL CORP.,Delta (BC),$37.00 hourly,"May 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49550450?source=searchresults
form carpenter,Elite Formwork Inc.,Kelowna (BC),$31.00 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49660676?source=searchresults
carpenter,MILLWOODS CUSTOM CABINETRY LTD.,Kelowna (BC),$36.60 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49659057?source=searchresults
carpenter,Zaldana Carpenter Ltd.,Surrey (BC),$36.60 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49655122?source=searchresults
finish carpenter,J.S CHEEMA FINISHING CARPENTRY LTD,Surrey (BC),$47.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49650622?source=searchresults
steel stud framer - carpentry,Stanley Walls Ltd.,Victoria (BC),$37.00 hourly,"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49646041?source=searchresults
steel stud framer - carpentry,STUDSITE ENTERPRISES LIMITED,Surrey (BC),$37.00 hourly,"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49644996?source=searchresults
carpenter,City of Kelowna,Kelowna (BC),$42.98 hourly,"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49645038?source=searchresults
carpenter,Ramiro Construction Ltd,Surrey (BC),$37.00 hourly,"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49546615?source=searchresults
construction worker,Greyback Construction Ltd.,Penticton (BC),$27.00 to $28.00 hourly (to be negotiated),"March 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49035506?source=searchresults
construction carpenter,HMD Construction Ltd.,Burnaby (BC),$37.00 hourly,"February 17, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/48959883?source=searchresults
framing carpenter,FLORA FRAMING LTD,Richmond (BC),$36.60 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49599431?source=searchresults
insulation supervisor,Brar Insulation Ltd.,Surrey (BC),$37.00 hourly,"June 06, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49662074?source=searchresults
carpenter,Dura Seal Ltd.,Port Coquitlam (BC),$30.00 to $45.00 hourly (to be negotiated),"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49660649?source=searchresults
construction helper,URBAN PARK DEVELOPMENT LTD.,Kelowna (BC),$36.60 hourly,"May 18, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49537233?source=searchresults
insulator helper,Thermo-Guard Insulation Systems Ltd.,Burnaby (BC),$25.00 hourly,"May 12, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49500003?source=searchresults
framer-carpenter,KOTDATTA FRAMING LTD.,Delta (BC),$36.60 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652817?source=searchresults
carpenter,TG Forming & Framing,North Vancouver (BC),$37.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49648194?source=searchresults
steel stud framer - carpentry,White Rock Drywall Ltd,Delta (BC),$37.00 hourly,"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49645690?source=searchresults
carpenter,Dave Mann Construction Ltd,Delta (BC),$30.00 hourly,"May 15, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49520753?source=searchresults
siding installer,Redpoint Construction Ltd,Salmon Arm (BC),$23.00 to $32.00 hourly (to be negotiated),"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49544528?source=searchresults
carpenter,Parbh Homes Ltd.,Surrey (BC),$36.60 to $40.00 hourly (to be negotiated),"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49590615?source=searchresults
electrician,Clarus Electric Corp,Surrey (BC),$36.60 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49660324?source=searchresults
electrician,Sher Electrical Service Ltd.,New Westminster (BC),$36.60 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49659533?source=searchresults
"project engineer, construction",Metro Vancouver,Burnaby (BC),"$108,607.20 annually","June 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49627304?source=searchresults
carpenter helper,Hi Fi Framing Ltd,Surrey (BC),$25.00 hourly,"May 18, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49537077?source=searchresults
carpenter lead hand,Redpoint Construction Ltd,Salmon Arm (BC),$30.00 to $40.00 hourly (to be negotiated),"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49545990?source=searchresults
plumber helper,CASCADE BATH & LIGHTING LTD,Langley (BC),$23.00 hourly,"May 12, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49499501?source=searchresults
roofer helper,Tan Roofing,Surrey (BC),$25.00 hourly,"May 08, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49492647?source=searchresults
"painter, construction",HI-RISE CONSTRUCTION LTD,Langley (BC),$37.50 hourly,"March 11, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49088193?source=searchresults
Construction site supervisor,Golden Future Construction Ltd,Delta (BC),$38.00 hourly,"May 14, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49514851?source=searchresults
tile setter helper,VanDeco tile & stone,Langley (BC),$22.52 to $35.00 hourly,"May 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49546983?source=searchresults
carpenter,GRANPEPE CONSTRUCTION INC.,Surrey (BC),$31.50 hourly,"May 15, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49522785?source=searchresults
excavation worker,Excellence Excavating Ltd,Surrey (BC),$25.00 hourly,"March 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49174410?source=searchresults
siding installer,Aesthetic Exteriors Ltd.,Surrey (BC),$36.70 hourly,"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49637011?source=searchresults
steel stud framer - carpentry,Riveting Renovations Ltd,Langford (BC),$33.00 hourly,"May 28, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49605214?source=searchresults
carpenter,Keystone Commercial Construction Ltd.,Mission (BC),$37.00 hourly,"May 21, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49559046?source=searchresults
grouter,Integrity Shoring & Civil Ltd.,Abbotsford (BC),$32.00 hourly,"May 14, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49515326?source=searchresults
carpenter,S B Framing Ltd.,Surrey (BC),$36.75 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49599454?source=searchresults
painter and decorator helper,Roller Kings Painting Ltd.,Surrey (BC),$36.60 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49655681?source=searchresults
concrete former helper,Concept Forming Ltd.,Surrey (BC),$25.00 hourly,"May 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49462026?source=searchresults
glazier helper,Sunflex Windows and Doors Renovations Ltd,Surrey (BC),$27.00 hourly,"May 12, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49498063?source=searchresults
framer-carpenter,Saihaj Framing Ltd,Delta (BC),$37.00 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49596659?source=searchresults
Construction site supervisor,Gorayaview Construction Ltd,Surrey (BC),$33.00 hourly,"May 11, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49494049?source=searchresults
carpenter,Powell Contracting,North Vancouver (BC),$32.00 to $40.00 hourly (to be negotiated),"June 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49627206?source=searchresults
painter,Property Partners Contracting,Victoria (BC),$28.00 to $34.00 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49586542?source=searchresults
plumber helper,IMPERIAL MECHANICAL LTD.,Surrey (BC),$25.00 hourly,"March 13, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49102823?source=searchresults
marble setters foreman/woman,Emperor Stone Imports and Trades Ltd.,Coquitlam (BC),$37.50 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49659543?source=searchresults
asbestos removal supervisor,Urban Environmental,Maple Ridge (BC),$37.50 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49656900?source=searchresults
carpenter,RIGHT WAY TILING LTD.,Surrey (BC),$36.64 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49651734?source=searchresults
carpenter,White Ocean Drywall Co.,Surrey (BC),$36.60 hourly,"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49644608?source=searchresults
demolition worker,Galaxy Human Resources Inc,Victoria (BC),$19.00 to $22.00 hourly (to be negotiated),"April 28, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49541462?source=searchresults
plumber helper,Chahal Mechanical Ltd.,Surrey (BC),$25.00 hourly,"April 29, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49421652?source=searchresults
carpenter,Riveting Renovations Ltd,Langford (BC),$33.00 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49597800?source=searchresults
carpenter,Rana siding &Gutters Ltd.,Delta (BC),$36.60 hourly,"May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49580057?source=searchresults
heavy equipment operator,Frind Estate Winery,Vernon (BC),$30.00 to $36.00 hourly,"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49646345?source=searchresults
carpenter,WIZ Plus Properties Inc.,West Kelowna (BC),$30.00 to $45.00 hourly,"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49649200?source=searchresults
